Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,predicted_sentiment
17,17,latenight gaming session friend, Positive  ,2023-01-20, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,positive
18,18,attending virtual conference ai, Neutral   ,2023-01-20, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,positive
19,19,winter blue got feeling low, Negative  ,2023-01-20, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,positive
20,20,sipping coffee enjoying good book, Positive  ,2023-01-21, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,positive
21,21,exploring world virtual reality, Positive  ,2023-01-21, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,positive
22,22,productive day ticking todo list, Positive  ,2023-01-21, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,positive
23,23,finished challenging workout routine, Positive  ,2023-01-22, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,positive
24,24,celebrating milestone work, Positive  ,2023-01-22, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,positive
25,25,sunday brunch friend, Positive  ,2023-01-22, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,positive
27,28,learning new language personal growth, Positive  ,2023-01-23, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,positive
28,29,quiet evening good book, Positive  ,2023-01-23, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,positive
29,30,reflecting importance mental health, Positive  ,2023-01-24, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,positive
30,31,new painting progress, Positive  ,2023-01-24, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,positive
31,32,weekend road trip explore scenic view, Positive  ,2023-01-24, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,positive
32,33,enjoying cup tea watching sunset, Positive  ,2023-01-25, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,positive
33,34,coding new project enthusiasm, Positive  ,2023-01-25, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,positive
34,35,feeling inspired attending workshop, Positive  ,2023-01-26, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,positive
35,36,winter sport day local park, Positive  ,2023-01-26, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,positive
36,37,quality time family weekend, Positive  ,2023-01-26, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,positive
37,38,attending live music concert tonight, Positive  ,2023-01-27, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,positive
38,39,practicing mindfulness meditation, Positive  ,2023-01-27, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,positive
39,40,trying new dessert recipe, Positive  ,2023-01-27, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,positive
40,41,excited upcoming gaming tournament, Positive  ,2023-01-28, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,positive
41,42,planning garden makeover spring, Positive  ,2023-01-28, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,positive
42,43,celebrating friend birthday tonight, Positive  ,2023-01-28, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,positive
43,44,feeling accomplished productive day, Positive  ,2023-01-29, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,positive
44,45,cozy evening good movie, Positive  ,2023-01-29, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,positive
45,46,exploring local art gallery weekend, Positive  ,2023-01-30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,positive
46,47,new book release favorite author, Positive  ,2023-01-30, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,positive
47,48,attending virtual reality meetup, Positive  ,2023-01-30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,positive
48,49,reflecting beauty nature, Positive  ,2023-01-31, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,positive
49,50,cooking special dinner loved one, Positive  ,2023-01-31, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,positive
50,51,feeling optimistic week ahead, Positive  ,2023-01-31, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,positive
51,52,starting new fitness challenge tomorrow, Positive  ,2023-02-01, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,positive
52,53,sunday bike ride scenic trail, Positive  ,2023-02-01, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,positive
53,55,cant believe injustice happening society, Anger        ,2023-02-11, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9,positive
54,56,feeling sense fear watching thriller movie, Fear         ,2023-02-11, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21,positive
55,57,heartbroken hearing news natural disaster, Sadness      ,2023-02-12, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14,positive
56,58,state world environment disgusting, Disgust      ,2023-02-12, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18,positive
57,59,pure happiness celebrating loved one achievement, Happiness    ,2023-02-13, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10,positive
58,60,laughter best comedy show, Joy          ,2023-02-13, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19,positive
59,61,sharing love positive vibe everyone, Love         ,2023-02-14, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8,positive
60,62,amusing incident brightened day, Amusement    ,2023-02-14, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14,positive
61,63,enjoying quiet evening book tea, Enjoyment    ,2023-02-14, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19,positive
62,64,admiring beauty nature peaceful hike, Admiration   ,2023-02-15, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11,positive
63,65,sending affectionate vibe follower, Affection    ,2023-02-15, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,positive
64,66,experiencing awe breathtaking sunset, Awe          ,2023-02-15, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20,positive
65,67,disappointed service local restaurant, Disappointed ,2023-02-16, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9,positive
66,68,surprise gift friend made day, Surprise     ,2023-02-16, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14,positive
67,69,finding acceptance midst life challenge, Acceptance   ,2023-02-16, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18,positive
68,70,overflowing adoration adorable pet, Adoration    ,2023-02-17, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10,positive
69,71,anticipating thrilling adventure coming week, Anticipation ,2023-02-17, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,positive
70,72,bitter experience turned valuable lesson, Bitter       ,2023-02-17, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15,positive
71,73,finding calmness midst busy day, Calmness     ,2023-02-18, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9,positive
72,74,confusion cloud mind navigate decision, Confusion    ,2023-02-18, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14,positive
73,75,excitement building upcoming vacation, Excitement   ,2023-02-18, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18,positive
74,76,kindness witnessed today restored faith humanity, Kind         ,2023-02-19, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11,positive
75,77,pride achieving personal milestone, Pride        ,2023-02-19, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16,positive
76,78,moment shame standing injustice, Shame        ,2023-02-19, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19,positive
77,79,fuming anger heated argument, Anger        ,2023-02-20, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9,positive
78,80,fear unknown keeping night, Fear         ,2023-02-20, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21,positive
79,81,heartfelt sadness bidding farewell dear friend, Sadness      ,2023-02-21, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14,positive
80,82,state corruption society utterly disgusting, Disgust      ,2023-02-21, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18,positive
81,83,overflowing happiness welcoming new family member, Happiness    ,2023-02-22, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10,positive
82,84,laughter key standup comedy show, Joy          ,2023-02-22, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19,positive
83,85,sending love follower beautiful day, Love         ,2023-02-23, LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8,positive
84,86,amused antic pure amusement, Amusement    ,2023-02-23, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14,positive
85,87,enjoying every moment enjoyment, Enjoyment    ,2023-02-23, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19,positive
86,88,admiring dedication volunteer local charity, Admiration   ,2023-02-24, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11,positive
87,89,sending affectionate vibe friend family, Affection    ,2023-02-24, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16,positive
88,90,awestruck beauty night sky, Awe          ,2023-02-24, Stargazer       , Facebook , #Awe #StarryNight                        ,22.0,45.0, Australia ,2023,2,24,20,positive
89,91,disappointed lack progress personal project, Disappointed ,2023-02-25, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18.0,35.0, India      ,2023,2,25,9,positive
90,92,surprise visit old friend brought tear joy, Surprise     ,2023-02-25, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25.0,50.0, USA          ,2023,2,25,14,positive
91,93,embracing acceptance life ups down, Acceptance   ,2023-02-25, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15.0,30.0, Canada     ,2023,2,25,18,positive
92,94,overflowing adoration cute rescue puppy, Adoration    ,2023-02-26, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22.0,45.0, UK         ,2023,2,26,10,positive
93,95,anticipating release muchawaited movie, Anticipation ,2023-02-26, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20.0,40.0, Australia    ,2023,2,26,7,positive
94,96,bitter experience customer service department, Bitter       ,2023-02-26, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18.0,35.0, USA       ,2023,2,26,15,positive
95,97,finding calmness amidst chaos daily life, Calmness     ,2023-02-27, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15.0,30.0, India     ,2023,2,27,9,positive
96,98,confusion reign try make sense recent event, Confusion    ,2023-02-27, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25.0,50.0, UK   ,2023,2,27,14,positive
97,99,excitement building surprise birthday party, Excitement   ,2023-02-27, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22.0,45.0, Canada ,2023,2,27,18,positive
98,100,witnessed act kindness made day, Kind         ,2023-02-28, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20.0,40.0, USA       ,2023,2,28,11,positive
99,101,pride completing challenging fitness challenge, Pride        ,2023-02-28, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30.0,60.0, UK            ,2023,2,28,16,positive
100,102,moment shame speaking injustice, Shame        ,2023-02-28, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15.0,30.0, India     ,2023,2,28,19,positive
101,103,reflecting beauty diversity world, Acceptance   ,2023-03-01, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22.0,45.0, Australia ,2023,3,1,10,positive
102,104,excitement quiet evening good book, Excitement   ,2023-03-01, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18.0,35.0, USA          ,2023,3,1,13,positive
103,105,feeling bitter unfairness workplace, Bitter       ,2023-03-01, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15.0,30.0, Canada    ,2023,3,1,17,positive
104,106,calmness prevails practice mindfulness, Calmness     ,2023-03-02, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15.0,30.0, UK        ,2023,3,2,18,positive
105,107,confusion surround navigate life choice, Confusion ,2023-03-02, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30.0,60.0, USA   ,2023,3,2,13,positive
106,108,excitement weekend road trip explore new place, Excitement ,2023-03-02, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25.0,50.0, India     ,2023,3,2,16,positive
107,109,kindness witnessed today restores faith humanity, Kind         ,2023-03-03, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22.0,45.0, USA       ,2023,3,3,11,positive
108,110,pride accomplishing personal professional goal, Pride        ,2023-03-03, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12.0,25.0, Canada ,2023,3,3,14,positive
109,111,shame true value difficult situation, Shame ,2023-03-03, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15.0,30.0, UK        ,2023,3,3,12,positive
110,112,revisiting old memory feeling sense elation, Elation       ,2010-05-15, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20.0,40.0, Canada    ,2010,5,15,15,positive
111,113,victory team brought euphoria city, Euphoria      ,2021-08-10, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15.0,30.0, USA      ,2021,8,10,21,positive
112,114,embracing beauty nature moment contentment, Contentment   ,2011-06-20, NatureLover2    , Facebook , #Contentment #Nature                           ,25.0,50.0, India       ,2011,6,20,14,positive
113,115,meditating serene lake finding inner peace, Serenity      ,2022-02-12, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18.0,35.0, UK          ,2022,2,12,18,positive
114,116,overflowing gratitude life blessing, Gratitude     ,2012-11-25, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30.0,60.0, Australia   ,2012,11,25,10,positive
115,117,hopeful brighter tomorrow despite challenge, Hope          ,2013-04-05, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22.0,45.0, USA      ,2013,4,5,19,positive
116,118,empowered make difference community, Empowerment   ,2014-09-14, CommunityLeader , Twitter  , #Empowerment #Community                        ,15.0,30.0, UK       ,2014,9,14,8,positive
117,119,compassion action supporting local charity event, Compassion    ,2015-07-18, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18.0,35.0, Canada ,2015,7,18,14,positive
118,120,moment tenderness connecting loved one, Tenderness    ,2016-02-23, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25.0,50.0, UK          ,2016,2,23,19,positive
119,121,arousal excitement await special announcement, Arousal       ,2017-10-30, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20.0,40.0, Australia ,2017,10,30,11,positive
120,122,enthusiastically diving new project, Enthusiasm    ,2018-06-15, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15.0,30.0, USA  ,2018,6,15,16,positive
121,123,feeling sense fulfillment reaching milestone, Fulfillment  ,2019-03-28, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22.0,45.0, India     ,2019,3,28,18,positive
122,124,reverence beauty historic landmark, Reverence     ,2019-11-11, HistoryLover    , Twitter  , #Reverence #History                           ,18.0,35.0, UK      ,2019,11,11,15,positive
123,125,elation surprise reunion old friend, Elation       ,2020-04-02, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25.0,50.0, Canada      ,2020,4,2,9,positive
124,126,euphoria live music concert star, Euphoria      ,2021-06-19, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15.0,30.0, USA ,2021,6,19,14,positive
125,127,contentment simplicity quiet sunday, Contentment   ,2010-08-15, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30.0,60.0, Australia ,2010,8,15,10,positive
126,128,serenity found page favorite book, Serenity      ,2011-09-22, BookLover3      , Instagram , #Serenity #BookTime                           ,22.0,45.0, UK          ,2011,9,22,19,positive
127,129,gratitude support received tough time, Gratitude     ,2012-03-10, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15.0,30.0, India     ,2012,3,10,8,positive
128,130,hopeful possibility new journey, Hope          ,2013-12-05, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18.0,35.0, Canada    ,2013,12,5,16,positive
129,131,empowerment learning personal growth, Empowerment   ,2014-07-20, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25.0,50.0,USA,2014,7,20,11,positive
130,132,compassion towards need holiday, Compassion    ,2015-12-22, HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18.0,35.0, USA      ,2015,12,22,14,positive
131,133,tenderness warmth cozy winter evening, Tenderness    ,2016-02-10, WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25.0,50.0, UK       ,2016,2,10,19,positive
132,134,arousal excitement upcoming adventure, Arousal       ,2017-04-30, AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20.0,40.0, Australia ,2017,4,30,11,positive
133,135,enthusiasm creative project making, Enthusiasm    ,2018-09-15, CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15.0,30.0, Canada    ,2018,9,15,16,positive
134,136,fulfillment completing challenging workout routine, Fulfillment  ,2019-06-28, FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22.0,45.0, India     ,2019,6,28,18,positive
135,137,reverence artistry displayed museum, Reverence     ,2020-11-11, ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18.0,35.0, UK        ,2020,11,11,15,positive
136,138,elation achieving personal goal, Elation       ,2021-03-02, GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25.0,50.0, USA      ,2021,3,2,9,positive
137,139,elation discovering hidden gem city, Elation       ,2012-02-18, UrbanExplorer2  , Twitter  , #Elation #HiddenGem                            ,20.0,40.0, USA      ,2012,2,18,14,positive
138,140,euphoria surprise birthday celebration, Euphoria      ,2018-11-05, BirthdayJoy     , Instagram , #Euphoria #BirthdaySurprise                   ,15.0,30.0, UK   ,2018,11,5,21,positive
139,141,contentment simplicity homecooked meal, Contentment   ,2015-09-12, HomeChef        , Facebook , #Contentment #HomeCooking                     ,25.0,50.0, India    ,2015,9,12,13,positive
140,142,serenity found melody peaceful piano, Serenity      ,2016-07-30, MusicLover4     , Twitter  , #Serenity #PeacefulMelody                    ,18.0,35.0, Canada      ,2016,7,30,18,positive
141,143,gratitude supportive community around, Gratitude     ,2013-04-20, CommunityLove   , Instagram , #Gratitude #CommunitySupport                   ,30.0,60.0, USA ,2013,4,20,10,positive
142,144,hopeful prospect new business venture, Hope          ,2017-12-08, EntrepreneurHope, Facebook , #Hope #BusinessVenture                        ,22.0,45.0, Canada    ,2017,12,8,19,positive
143,145,empowerment mentoring guiding others, Empowerment   ,2014-06-03, MentorEmpower   , Twitter  , #Empowerment #Mentorship                      ,15.0,30.0, UK       ,2014,6,3,8,positive
144,146,compassion shown act kindness community, Compassion,2019-01-15, KindnessInAction, Instagram , #Compassion #CommunityKindness               ,18.0,35.0, Australia ,2019,1,15,14,positive
145,147,tenderness heartfelt message loved one, Tenderness    ,2016-12-25, LoveExpress     , Facebook , #Tenderness #LoveNote                         ,25.0,50.0, UK          ,2016,12,25,19,positive
146,148,arousal excitement muchawaited trip, Arousal       ,2018-03-10, TravelExcitement, Twitter  , #Arousal #TravelAdventure                     ,20.0,40.0, India    ,2018,3,10,9,positive
147,149,enthusiasm new artistic project work, Enthusiasm    ,2020-09-17, ArtisticSpirit  , Instagram , #Enthusiasm #ArtisticProject                 ,15.0,30.0, USA       ,2020,9,17,16,positive
148,150,feeling sense fulfillment helping others, Fulfillment   ,2011-08-28, HelperHeart     , Facebook , #Fulfillment #HelpingOthers                  ,22.0,45.0, Canada    ,2011,8,28,18,positive
149,151,reverence historical significance landmark, Reverence ,2017-11-01, HistoryBuff     , Twitter  , #Reverence #HistoricalSite                   ,18.0,35.0, Australia ,2017,11,1,15,positive
150,152,elation achieving fitness milestone, Elation       ,2019-06-15, FitnessAchiever2, Instagram , #Elation #FitnessMilestone                   ,25.0,50.0, UK           ,2019,6,15,10,positive
151,153,euphoria successful product launch, Euphoria      ,2022-04-03, ProductLaunchJoy, Facebook , #Euphoria #ProductLaunchSuccess              ,15.0,30.0, USA       ,2022,4,3,11,positive
152,154,contentment embrace loved one, Contentment   ,2010-11-12, LovingEmbrace   , Twitter  , #Contentment #Love                             ,30.0,60.0, India    ,2010,11,12,20,positive
153,155,serenity found beauty sunset sea, Serenity      ,2011-07-22, SunsetWatcher2  , Instagram , #Serenity #SunsetViews                       ,22.0,45.0, Canada     ,2011,7,22,18,positive
154,156,gratitude small joy day brings, Gratitude     ,2012-03-30, JoyfulHeart2    , Facebook , #Gratitude #SmallJoys                        ,15.0,30.0, Australia   ,2012,3,30,11,positive
155,157,hopeful potential personal growth, Hope          ,2013-10-05, GrowthOptimist  , Twitter  , #Hope #PersonalDevelopment                    ,18.0,35.0, UK       ,2013,10,5,16,positive
156,158,empowerment learning new skill, Empowerment   ,2014-07-10, SkillEmpower    , Instagram , #Empowerment #SkillBuilding                   ,25.0,50.0, India   ,2014,7,10,13,positive
157,159,compassion volunteering local charity, Compassion    ,2015-12-18, CharityVolunteer, Facebook , #Compassion #VolunteerWork                   ,18.0,35.0, USA      ,2015,12,18,14,positive
158,160,tenderness quiet moment shared pet, Tenderness    ,2016-02-10, PetLove         , Twitter  , #Tenderness #PetLove                          ,25.0,50.0, Canada   ,2016,2,10,19,positive
159,161,arousal excitement upcoming festival, Arousal       ,2017-09-25, FestivalFan     , Instagram , #Arousal #FestivalExcitement               ,20.0,40.0, UK ,2017,9,25,11,positive
160,162,enthusiasm diy home improvement project, Enthusiasm    ,2018-04-15, DIYEnthusiast   , Facebook , #Enthusiasm #HomeImprovement                 ,15.0,30.0, Australia   ,2018,4,15,16,positive
161,163,fulfillment completing challenging puzzle, Fulfillment   ,2019-11-28, PuzzleMaster    , Twitter  , #Fulfillment #PuzzleChallenge                ,22.0,45.0, India    ,2019,11,28,18,positive
162,164,reverence wonder nature hiking trail, Reverence ,2020-05-11, NatureAdmirer   , Instagram , #Reverence #NatureExploration                ,18.0,35.0, USA        ,2020,5,11,15,positive
163,165,elation surprise reunion childhood friend, Elation   ,2021-02-05, ChildhoodJoy    , Facebook , #Elation #FriendshipReunion                  ,25.0,50.0, Canada      ,2021,2,5,9,positive
164,166,suffering despair another setback, Despair         ,2021-03-10, StrugglingSoul    , Twitter  , #Despair #Struggle                              ,5.0,10.0, USA          ,2021,3,10,8,positive
